158	Spirillum dentium
158	Spirochaeta ambigua Seguin
158	Spirochaeta comandonii Seguin
158	Spirochaeta dentium
158	Spirochaeta microdentium
158	Spirochaeta orthodonta Hoffmann 1920
158	Spirochaete denticola Flugge 1886
158	Spirochaete dentium Miller 1889
158	Spironema dentium
158	Treponema ambiguum
158	Treponema comandonii
158	Treponema dentium-stenogyratum Pettit 1928
158	Treponema microdentium Noguchi 1912
158	Treponema orthodontum
158	ATCC 35405
158	CIP 103919
158	DSM 14222
158	JCM 8153
158	Spirillum dentium
158	Spirochaeta ambigua
158	Spirochaeta comandonii
158	Spirochaeta dentium
158	Spirochaeta microdentium
158	Spirochaeta orthodonta
158	Spirochaete denticola
158	Spirochaete dentium
